sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,configurable_variations,price,status,url_key
1140671617,Products,configurable,Default Category,base,"CALCULATRICE SCIENTIFIQUE 401 FONCTIONS ""CASIO"" REF: FX-570MS ""CASIO"" REF:FX-570MS","CALCULATRICE SCIENTIFIQUE 401 FONCTIONS ""CASIO"" REF: FX-570MS ""CASIO"" REF:FX-570MS","Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",99,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-570MS",100,0,"sku=1140659600,type=5X5|sku=1140659601,type=SEYES",15.99,1,calculatrice-scientifique-401-fonctions-casio-ref-
1140659600,Products,simple,Default Category,base,"CALCULATRICE SCIENTIFIQUE 240 FONCTIONS ""CASIO"" REF: FX-82MS ""CASIO"" REF:FX-82MS","CALCULATRICE SCIENTIFIQUE 240 FONCTIONS ""CASIO"" REF: FX-82MS ""CASIO"" REF:FX-82MS","Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",82,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-82MS",100,0,,15.99,1,calculatrice-scientifique-240-fonctions-casio-ref-
1140659601,Products,simple,Default Category,base,"CALCULATRICE DE POCHE BLEU ""CASIO"" REF: HL-815L-BU-S-DP ""CASIO"" REF:HL-815L-BU-S-DP","CALCULATRICE DE POCHE BLEU ""CASIO"" REF: HL-815L-BU-S-DP ""CASIO"" REF:HL-815L-BU-S-DP","Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",141,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=HL-815L-BU-S-DP,color=Bleu",100,0,,8.99,1,calculatrice-de-poche-bleu-casio-ref-hl-815l-bu-s-
1140659592,Products,simple,Default Category,base,"CALCULATRICE DE POCHE ROSE ""CASIO"" REF: HL-815L-PK-S-DP ""CASIO"" REF:HL-815L-PK-S-DP","CALCULATRICE DE POCHE ROSE ""CASIO"" REF: HL-815L-PK-S-DP ""CASIO"" REF:HL-815L-PK-S-DP","Couverture carte rigide, ultra-résistante, pour un cahier qui dure longtemps.",50,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=HL-815L-PK-S-DP,color=Rose",100,0,,8.99,1,calculatrice-de-poche-rose-casio-ref-hl-815l-pk-s-
1140659594,Products,simple,Default Category,base,"CALCULATRICE DE POCHE BLANC ""CASIO"" REF: HL-815L-WE-W-DP ""CASIO"" REF:HL-815L-WE-W-DP","CALCULATRICE DE POCHE BLANC ""CASIO"" REF: HL-815L-WE-W-DP ""CASIO"" REF:HL-815L-WE-W-DP","Couverture carte rigide, ultra-résistante, pour un cahier qui dure longtemps.",50,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=HL-815L-WE-W-DP,color=Blanc",100,0,,8.99,1,calculatrice-de-poche-blanc-casio-ref-hl-815l-we-w
1140659599,Products,simple,Default Category,base,"CALCULATRICE DE POCHE NOIR ""CASIO"" REF: HL-4A-W ""CASIO"" REF:HL-4A-W","CALCULATRICE DE POCHE NOIR ""CASIO"" REF: HL-4A-W ""CASIO"" REF:HL-4A-W","Couverture carte rigide, ultra-résistante, pour un cahier qui dure longtemps.",50,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=HL-4A-W",100,0,,8.99,1,calculatrice-de-poche-noir-casio-ref-hl-4a-w-casio
1140659591,Products,simple,Default Category,base,"CALCULATRICE DE POCHE ""CASIO"" REF: LC-403TV ""CASIO"" REF:LC-403TV","CALCULATRICE DE POCHE ""CASIO"" REF: LC-403TV ""CASIO"" REF:LC-403TV","Couverture carte rigide, ultra-résistante, pour un cahier qui dure longtemps.",250,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=LC-403TV",100,0,,8.99,1,calculatrice-de-poche-casio-ref-lc-403tv-casio-ref
1140659781,Products,simple,Default Category,base,"CALCULATRICE DE BUREAU VERIFICATRICE ""CASIO"" REF: DJ-220DPLUS-WA ""CASIO"" REF:DJ-220DPLUS-WA","CALCULATRICE DE BUREAU VERIFICATRICE ""CASIO"" REF: DJ-220DPLUS-WA ""CASIO"" REF:DJ-220DPLUS-WA",Dos toilé pour une meilleure tenue et une parfaite ouverture à plat.,158,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=DJ-220DPLUS-WA",100,0,,45.99,1,calculatrice-de-bureau-verificatrice-casio-ref-dj-
1140660004,Products,simple,Default Category,base,"CALCULATRICE DE BUREAU AVEC CLAVIER AMOVIBLE ET LAVABLE ""CASIO"" REF: WD-320MT-S ""CASIO"" REF:WD-320MT-S","CALCULATRICE DE BUREAU AVEC CLAVIER AMOVIBLE ET LAVABLE ""CASIO"" REF: WD-320MT-S ""CASIO"" REF:WD-320MT-S",Dos toilé pour une meilleure tenue et une parfaite ouverture à plat.,158,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=WD-320MT-S",100,0,,45.99,1,calculatrice-de-bureau-avec-clavier-amovible-et-la
1140659760,Products,simple,Default Category,base,"CALCULATRICE DE BUREAU 159x207.5mm 12 CHIFFRES ""CASIO"" REF: GX-12B-BK-W-DC ""CASIO"" REF:GX-12B-BK-W-DC","CALCULATRICE DE BUREAU 159x207.5mm 12 CHIFFRES ""CASIO"" REF: GX-12B-BK-W-DC ""CASIO"" REF:GX-12B-BK-W-DC",Dos toilé pour une meilleure tenue et une parfaite ouverture à plat.,250,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=GX-12B-BK-W-DC,dimension=159x207.5mm,capacity=12 CHIFFRES",100,0,,45.99,1,calculatrice-de-bureau-159x2075mm-12-chiffres-casi
1140659779,Products,simple,Default Category,base,"CALCULATRICE DE BUREAU 129x175.5mm 12 CHIFFRES ""CASIO"" REF: DX-12B-BK-W-DC ""CASIO"" REF:DX-12B-BK-W-DC","CALCULATRICE DE BUREAU 129x175.5mm 12 CHIFFRES ""CASIO"" REF: DX-12B-BK-W-DC ""CASIO"" REF:DX-12B-BK-W-DC",Dos toilé pour une meilleure tenue et une parfaite ouverture à plat.,270,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=DX-12B-BK-W-DC,dimension=129x175.5mm,capacity=12 CHIFFRES",100,0,,45.99,1,calculatrice-de-bureau-129x1755mm-12-chiffres-casi
1140659729,Products,simple,Default Category,base,"CALCULATRICE POUR ENTREPÔTS ""CASIO"" REF: MP-12R-W ""CASIO"" REF:MP-12R-W","CALCULATRICE POUR ENTREPÔTS ""CASIO"" REF: MP-12R-W ""CASIO"" REF:MP-12R-W","Découvrez le Cahier de Dessin CALLIGRAPHE idéal pour les artistes en herbe et les passionnés de dessin.
Ce cahier au papier lisse de haute qualité est parfait pour donner vie à vos croquis et illustrations",266,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=MP-12R-W",100,0,,45.99,1,calculatrice-pour-entrepts-casio-ref-mp-12r-w-casi
1140659727,Products,simple,Default Category,base,"CALCULATRICE A RUBAN ""CASIO"" REF: FR-2650RC-D-DC ""CASIO"" REF:FR-2650RC-D-DC","CALCULATRICE A RUBAN ""CASIO"" REF: FR-2650RC-D-DC ""CASIO"" REF:FR-2650RC-D-DC","Découvrez le Cahier de Dessin CALLIGRAPHE idéal pour les artistes en herbe et les passionnés de dessin.
Ce cahier au papier lisse de haute qualité est parfait pour donner vie à vos croquis et illustrations",220,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FR-2650RC-D-DC",100,0,,89.99,1,calculatrice-a-ruban-casio-ref-fr-2650rc-d-dc-casi
1140659693,Products,simple,Default Category,base,"ETIQUETEUSE ELECTRONIQUE ""CASIO"" REF: KL-HD1 ""CASIO"" REF:KL-HD1","ETIQUETEUSE ELECTRONIQUE ""CASIO"" REF: KL-HD1 ""CASIO"" REF:KL-HD1",Pages blanches pour le dessin et le coloriage.,400,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=KL-HD1",100,0,,45.99,1,etiqueteuse-electronique-casio-ref-kl-hd1-casio-re
1140659692,Products,simple,Default Category,base,"CALCULATRICE FINANCIERE ""CASIO"" REF: FC-100V ""CASIO"" REF:FC-100V","CALCULATRICE FINANCIERE ""CASIO"" REF: FC-100V ""CASIO"" REF:FC-100V",Pages blanches pour le dessin et le coloriage.,266,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FC-100V",100,0,,15.99,1,calculatrice-financiere-casio-ref-fc-100v-casio-re
1140659691,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFAÇABLE FRIXION BALL 0.7mm ""PILOT"" ""PILOT"" REF:","STYLO ROLLER A ENCRE GEL EFFAÇABLE FRIXION BALL 0.7mm ""PILOT"" ""PILOT"" REF:",Pages blanches pour le dessin et le coloriage.,270,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=",100,0,,2.50,1,stylo-roller-a-encre-gel-effaable-frixion-ball-07m
1140659675,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm BLEU ""PILOT"" REF: BL-FR7-L ""PILOT"" REF:BL-FR7-L","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm BLEU ""PILOT"" REF: BL-FR7-L ""PILOT"" REF:BL-FR7-L","Pages blanches pour le dessin et le coloriage.Papier Vélin Surfin 90 g.
Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",15,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-L,color=Bleu",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07
1140659827,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm NOIR ""PILOT"" REF: BL-FR7-B-E ""PILOT"" REF:BL-FR7-B-E","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm NOIR ""PILOT"" REF: BL-FR7-B-E ""PILOT"" REF:BL-FR7-B-E",8 portées musicales avec lignes par page. Couverture carte offset. Papier Vélin Surfin 70 g.,551,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-B-E,color=Noir",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-1
1140659826,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm ROUGE ""PILOT"" REF: BL-FR7-R ""PILOT"" REF:BL-FR7-R","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm ROUGE ""PILOT"" REF: BL-FR7-R ""PILOT"" REF:BL-FR7-R",8 portées musicales avec lignes par page. Couverture carte offset. Papier Vélin Surfin 70 g.,552,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-R,color=Rouge",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-2
1140659772,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm VERT ""PILOT"" REF: BL-FR7-G ""PILOT"" REF:BL-FR7-G","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm VERT ""PILOT"" REF: BL-FR7-G ""PILOT"" REF:BL-FR7-G",Lignage tricolore spécial pour l'apprentissage de l'écriture. Tableau de calligraphie au verso sur la couverture. Papier Vélin Surfin 70 g.,230,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-G,color=Vert",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-3
1140659773,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm BLEU TURQUOISE ""PILOT"" REF: BL-FR7-LB ""PILOT"" REF:BL-FR7-LB","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm BLEU TURQUOISE ""PILOT"" REF: BL-FR7-LB ""PILOT"" REF:BL-FR7-LB",Lignage tricolore spécial pour l'apprentissage de l'écriture. Tableau de calligraphie au verso sur la couverture. Papier Vélin Surfin 70 g.,49,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-LB,color=Bleu Turquoise",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-4
1140659788,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm VIOLET ""PILOT"" REF: BL-FR7-V ""PILOT"" REF:BL-FR7-V","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm VIOLET ""PILOT"" REF: BL-FR7-V ""PILOT"" REF:BL-FR7-V",Lignage tricolore spécial pour l'apprentissage de l'écriture. Tableau de calligraphie au verso sur la couverture. Papier Vélin Surfin 70 g.,137,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-V,color=Violet",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-5
1140671618,Products,configurable,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm ROSE ""PILOT"" REF: BL-FR7-P ""PILOT"" REF:BL-FR7-P","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm ROSE ""PILOT"" REF: BL-FR7-P ""PILOT"" REF:BL-FR7-P","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",193,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-P,color=Rose",100,0,"sku=1140659780,type=5X5|sku=1140659774,type=SEYES",2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-6
1140659780,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm ORANGE ""PILOT"" REF: BL-FR7-O ""PILOT"" REF:BL-FR7-O","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm ORANGE ""PILOT"" REF: BL-FR7-O ""PILOT"" REF:BL-FR7-O","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",339,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-O,color=Orange",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-7
1140659774,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm VERT CLAIR ""PILOT"" REF: BL-FR7-VC ""PILOT"" REF:BL-FR7-VC","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm VERT CLAIR ""PILOT"" REF: BL-FR7-VC ""PILOT"" REF:BL-FR7-VC","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",15,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-VC,color=Vert Clair",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-8
1140671619,Products,configurable,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm MARRON ""PILOT"" REF: BL-FR7-M ""PILOT"" REF:BL-FR7-M","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION BALL 0.7mm MARRON ""PILOT"" REF: BL-FR7-M ""PILOT"" REF:BL-FR7-M","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",444,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-M,color=Marron",100,0,"sku=1140659761,type=5X5|sku=1140659770,type=SEYES",2.50,1,stylo-roller-a-encre-gel-effacable-frixion-ball-07-9
1140659761,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFAÇABLE FRIXION CLICKER 0.7mm ""PILOT"" ""PILOT"" REF:","STYLO ROLLER A ENCRE GEL EFFAÇABLE FRIXION CLICKER 0.7mm ""PILOT"" ""PILOT"" REF:","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",449,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=",100,0,,2.50,1,stylo-roller-a-encre-gel-effaable-frixion-clicker-
1140659770,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm BLEU ""PILOT"" REF: BLRT-FR7-L ""PILOT"" REF:BLRT-FR7-L","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm BLEU ""PILOT"" REF: BLRT-FR7-L ""PILOT"" REF:BLRT-FR7-L","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",71,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BLRT-FR7-L,color=Bleu",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker
1140659789,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm NOIR ""PILOT"" REF: BLRT-FR7-B ""PILOT"" REF:BLRT-FR7-B","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm NOIR ""PILOT"" REF: BLRT-FR7-B ""PILOT"" REF:BLRT-FR7-B","Touches de couleur détachables pour les jours de la semaine. Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles !",136,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BLRT-FR7-B,color=Noir",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker-1
1140671620,Products,configurable,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm ROUGE ""PILOT"" REF: BLRT-FR7-R ""PILOT"" REF:BLRT-FR7-R","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm ROUGE ""PILOT"" REF: BLRT-FR7-R ""PILOT"" REF:BLRT-FR7-R","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",90,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BLRT-FR7-R,color=Rouge",100,0,"sku=1140659776,type=5X5|sku=1140659778,type=SEYES",2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker-2
1140659776,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm VERT ""PILOT"" REF: BLRT-FR7-G ""PILOT"" REF:BLRT-FR7-G","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm VERT ""PILOT"" REF: BLRT-FR7-G ""PILOT"" REF:BLRT-FR7-G","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",135,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BLRT-FR7-G,color=Vert",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker-3
1140659778,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm VIOLET ""PILOT"" REF: BL-FR-V ""PILOT"" REF:BL-FR-V","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm VIOLET ""PILOT"" REF: BL-FR-V ""PILOT"" REF:BL-FR-V","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70 g.",15,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR-V,color=Violet",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker-4
1140671621,Products,configurable,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm BLEU CIEL ""PILOT"" REF: BLRT-FR7-LB ""PILOT"" REF:BLRT-FR7-LB","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm BLEU CIEL ""PILOT"" REF: BLRT-FR7-LB ""PILOT"" REF:BLRT-FR7-LB","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70g.",245,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BLRT-FR7-LB,color=Bleu Ciel",100,0,"sku=1140659771,type=5X5|sku=1140659775,type=SEYES",2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker-5
1140659771,Products,simple,Default Category,base,"STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm ROSE ""PILOT"" REF: BL-FR7-RS ""PILOT"" REF:BL-FR7-RS","STYLO ROLLER A ENCRE GEL EFFACABLE FRIXION CLICKER 0.7mm ROSE ""PILOT"" REF: BL-FR7-RS ""PILOT"" REF:BL-FR7-RS","Reliure intégrale permettant une pleine ouverture, idéal pour l'utilisation recto/verso des feuilles ! Couverture carte vernie. Papier Vélin Surfin 70g.",240,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Pilot,techno_ref=BL-FR7-RS,color=Rose",100,0,,2.50,1,stylo-roller-a-encre-gel-effacable-frixion-clicker-6
